VisTrialDirection,VisCoherence,AudTrialDirection,AudCoherence,UserInput
NA,NA,-1,0.4,-1
NA,NA,-1,0.1,-1
NA,NA,-1,0.1,-1
NA,NA,1,0.2,-1
NA,NA,1,0.1,1
NA,NA,1,0.05,-1
NA,NA,-1,0.4,-1
NA,NA,-1,0.2,-1
NA,NA,1,0.1,-1
NA,NA,-1,0.4,-1
NA,NA,1,0,1
NA,NA,1,0.1,1
NA,NA,1,0.4,1
NA,NA,-1,0,1
NA,NA,-1,0.1,1
NA,NA,-1,0.1,1
NA,NA,-1,0.05,1
NA,NA,-1,0.1,1
NA,NA,1,0,-1
NA,NA,-1,0.05,-1
NA,NA,-1,0,1
NA,NA,-1,0.4,-1
NA,NA,-1,0.2,1
NA,NA,-1,0.2,-1
NA,NA,-1,0.05,1
NA,NA,1,0.05,-1
NA,NA,1,0.05,1
NA,NA,-1,0.05,1
NA,NA,1,0.05,1
NA,NA,-1,0,1
NA,NA,1,0.2,1
NA,NA,1,0,1
NA,NA,-1,0.05,1
NA,NA,-1,0.2,1
NA,NA,-1,0.1,1
NA,NA,1,0.1,1
NA,NA,-1,0.2,1
NA,NA,-1,0,-1
NA,NA,1,0,1
NA,NA,-1,0,-1
NA,NA,-1,0.05,1
NA,NA,-1,0.2,-1
NA,NA,1,0.05,1
NA,NA,1,0.1,1
NA,NA,-1,0.05,1
NA,NA,1,0.4,1
NA,NA,1,0.2,-1
NA,NA,1,0.1,1
NA,NA,-1,0,1
NA,NA,-1,0.4,-1
NA,NA,1,0.2,1
NA,NA,1,0.1,-1
NA,NA,1,0.4,1
NA,NA,1,0.2,-1
NA,NA,1,0.05,1
NA,NA,-1,0,-1
NA,NA,1,0.2,1
NA,NA,1,0.1,-1
NA,NA,1,0.2,1
NA,NA,1,0.4,1
NA,NA,-1,0,-1
NA,NA,-1,0.05,1
NA,NA,1,0.4,1
NA,NA,1,0.05,1
NA,NA,1,0.2,1
NA,NA,1,0.4,1
NA,NA,1,0,-1
NA,NA,1,0.4,1
NA,NA,-1,0.4,-1
NA,NA,-1,0.2,-1
NA,NA,-1,0.1,-1
NA,NA,-1,0.4,-1
NA,NA,-1,0.2,-1
NA,NA,1,0,-1
NA,NA,-1,0.4,-1
NA,NA,1,0,1
NA,NA,1,0.05,-1
NA,NA,-1,0.1,-1
NA,NA,1,0.4,1
NA,NA,1,0,-1
