VisTrialDirection,VisCoherence,AudTrialDirection,AudCoherence,UserInput
1,0.5,1,0.7,1
1,0.9,1,0.7,1
1,0.9,1,0.7,1
-1,0.5,-1,0.7,1
1,0.7,1,0.7,-1
-1,0.5,-1,0.7,1
1,0.9,1,0.7,1
1,0.5,1,0.7,1
-1,0.4,-1,0.7,-1
1,0.5,-1,0.7,1
1,0.9,1,0.7,1
1,0.2,1,0.7,1
1,0,1,0.7,-1
1,0.5,1,0.7,1
1,0,1,0.7,1
1,0.4,1,0.7,1
1,0.2,1,0.7,1
1,0.9,1,0.7,1
1,0.5,1,0.7,1
-1,0.5,-1,0.7,-1
-1,0.2,-1,0.7,-1
1,0.2,1,0.7,1
-1,0.5,-1,0.7,-1
-1,0,-1,0.7,-1
-1,0.7,-1,0.7,-1
-1,0.2,1,0.7,1
1,0.2,1,0.7,1
1,0.7,1,0.7,1
1,0.7,1,0.7,1
1,0.2,1,0.7,1
1,0.4,-1,0.7,-1
-1,0.4,-1,0.7,1
1,0.5,-1,0.7,1
-1,0.2,-1,0.7,-1
1,0,-1,0.7,1
1,0.2,1,0.7,-1
1,0.4,1,0.7,1
1,0.5,-1,0.7,1
-1,0.9,-1,0.7,-1
1,0,1,0.7,1
-1,0.2,-1,0.7,1
1,0.2,1,0.7,-1
1,0.4,1,0.7,1
-1,0.9,1,0.7,-1
1,0.7,-1,0.7,1
-1,0,-1,0.7,1
1,0.2,1,0.7,1
1,0.9,-1,0.7,-1
1,0,1,0.7,1
-1,0.5,-1,0.7,-1
1,0,-1,0.7,1
-1,0.9,-1,0.7,-1
-1,0.5,-1,0.7,1
1,0.9,-1,0.7,-1
1,0.4,1,0.7,-1
1,0.2,1,0.7,-1
-1,0.2,1,0.7,1
1,0.9,-1,0.7,1
-1,0,-1,0.7,-1
-1,0,-1,0.7,1
1,0.4,1,0.7,-1
-1,0,1,0.7,1
-1,0.7,-1,0.7,-1
-1,0.9,-1,0.7,-1
1,0.5,1,0.7,-1
1,0.7,1,0.7,1
-1,0.7,-1,0.7,-1
-1,0.7,1,0.7,1
-1,0.2,-1,0.7,-1
-1,0.2,-1,0.7,-1
1,0.2,1,0.7,1
1,0.5,-1,0.7,-1
-1,0.5,1,0.7,1
1,0.7,1,0.7,1
-1,0.4,-1,0.7,-1
1,0,1,0.7,1
-1,0.4,-1,0.7,-1
1,0.7,1,0.7,1
1,0.9,1,0.7,-1
-1,0.5,-1,0.7,-1
-1,0.5,1,0.7,1
-1,0.4,-1,0.7,-1
1,0.5,1,0.7,1
1,0.5,1,0.7,1
-1,0.2,1,0.7,-1
1,0.7,1,0.7,1
1,0.2,1,0.7,1
1,0.5,-1,0.7,-1
-1,0.7,-1,0.7,-1
-1,0,-1,0.7,1
1,0.5,1,0.7,-1
1,0.7,1,0.7,1
-1,0.7,-1,0.7,-1
1,0.5,1,0.7,1
-1,0.2,-1,0.7,-1
-1,0.5,-1,0.7,1
-1,0.5,1,0.7,-1
-1,0.4,-1,0.7,-1
1,0.4,1,0.7,1
-1,0.4,-1,0.7,-1
1,0.4,1,0.7,1
-1,0.5,-1,0.7,-1
-1,0.7,-1,0.7,1
-1,0.5,-1,0.7,-1
1,0.4,1,0.7,1
1,0.5,1,0.7,1
1,0.5,1,0.7,1
1,0.4,-1,0.7,-1
-1,0.7,1,0.7,1
1,0.5,-1,0.7,1
-1,0.7,-1,0.7,-1
1,0.9,1,0.7,1
-1,0.9,-1,0.7,-1
-1,0,-1,0.7,1
-1,0.4,-1,0.7,-1
-1,0,-1,0.7,1
1,0.5,1,0.7,1
1,0.5,1,0.7,1
1,0.9,-1,0.7,1
1,0.5,-1,0.7,1
1,0,1,0.7,-1
-1,0.9,-1,0.7,-1
-1,0.5,-1,0.7,1
1,0,1,0.7,1
-1,0.5,-1,0.7,-1
-1,0.9,-1,0.7,-1
-1,0.5,-1,0.7,-1
-1,0.5,-1,0.7,-1
1,0.2,1,0.7,1
1,0.7,-1,0.7,1
-1,0.9,-1,0.7,-1
-1,0.9,-1,0.7,-1
1,0.9,1,0.7,1
