VisTrialDirection,VisCoherence,AudTrialDirection,AudCoherence,UserInput
1,0,1,0,1
-1,0.4,-1,0.4,-1
1,0,1,0,1
1,0.05,1,0.05,-1
1,0,1,0,1
-1,0.2,-1,0.2,-1
1,0.1,1,0.1,1
-1,0.4,-1,0.4,-1
1,0.4,-1,0.4,1
-1,0.1,-1,0.1,-1
1,0,1,0,1
1,0.2,-1,0.2,1
1,0.05,1,0.05,1
1,0.2,-1,0.2,1
1,0.05,1,0.05,1
-1,0,-1,0,1
-1,0.4,-1,0.4,-1
1,0.1,1,0.1,1
1,0.05,1,0.05,1
-1,0.1,1,0.1,-1
-1,0,-1,0,-1
1,0.4,-1,0.4,1
-1,0.1,-1,0.1,-1
1,0.2,1,0.2,1
1,0.4,1,0.4,1
-1,0.1,-1,0.1,1
1,0.4,1,0.4,1
1,0.4,1,0.4,1
1,0.05,1,0.05,1
1,0.05,1,0.05,1
-1,0.05,-1,0.05,-1
1,0.2,1,0.2,1
1,0.05,-1,0.05,-1
1,0.1,1,0.1,1
-1,0.05,1,0.05,1
-1,0.4,-1,0.4,-1
-1,0,-1,0,1
1,0.4,1,0.4,1
1,0.1,-1,0.1,1
-1,0.1,1,0.1,-1
-1,0.05,-1,0.05,1
1,0,-1,0,1
1,0,-1,0,1
-1,0.2,-1,0.2,-1
1,0,1,0,1
-1,0,-1,0,1
-1,0.2,-1,0.2,-1
-1,0.1,-1,0.1,-1
1,0.4,1,0.4,1
-1,0.2,-1,0.2,-1
-1,0.2,-1,0.2,1
-1,0.2,-1,0.2,-1
1,0,1,0,1
-1,0.2,1,0.2,-1
-1,0.05,-1,0.05,1
1,0.05,1,0.05,1
1,0,1,0,1
1,0.1,1,0.1,1
1,0,-1,0,-1
-1,0.1,-1,0.1,1
-1,0,-1,0,1
-1,0,-1,0,-1
-1,0.05,1,0.05,-1
1,0.2,1,0.2,1
1,0,-1,0,-1
1,0.1,-1,0.1,1
1,0,-1,0,-1
1,0.4,-1,0.4,1
-1,0.1,-1,0.1,-1
-1,0.4,-1,0.4,-1
-1,0.4,-1,0.4,-1
1,0.4,-1,0.4,1
1,0.4,1,0.4,1
1,0.2,1,0.2,1
-1,0.05,-1,0.05,1
-1,0.4,-1,0.4,-1
1,0.05,1,0.05,1
-1,0.05,1,0.05,-1
-1,0.2,-1,0.2,-1
-1,0.05,-1,0.05,-1
-1,0,-1,0,1
-1,0,1,0,-1
1,0,1,0,1
1,0.2,1,0.2,1
-1,0.05,-1,0.05,-1
1,0.05,1,0.05,1
-1,0.4,-1,0.4,-1
1,0,-1,0,1
-1,0.4,-1,0.4,-1
-1,0.4,-1,0.4,-1
-1,0.1,1,0.1,1
-1,0.1,-1,0.1,-1
-1,0.1,-1,0.1,-1
-1,0.4,-1,0.4,-1
-1,0.4,-1,0.4,-1
-1,0.2,-1,0.2,-1
1,0.1,1,0.1,1
-1,0,-1,0,1
-1,0.05,-1,0.05,1
1,0.2,1,0.2,1
-1,0.05,1,0.05,1
1,0.1,1,0.1,1
1,0,-1,0,-1
-1,0.4,-1,0.4,-1
1,0.1,1,0.1,1
-1,0.1,-1,0.1,-1
-1,0,-1,0,1
1,0.1,1,0.1,1
1,0.1,1,0.1,-1
-1,0.1,-1,0.1,-1
-1,0.05,-1,0.05,1
1,0.2,1,0.2,1
-1,0,-1,0,1
1,0,1,0,-1
1,0.05,1,0.05,1
1,0.2,1,0.2,1
-1,0.05,-1,0.05,1
-1,0.2,1,0.2,-1
-1,0,-1,0,1
-1,0.2,-1,0.2,-1
1,0.05,1,0.05,1
-1,0.2,-1,0.2,-1
1,0.2,1,0.2,1
1,0.05,1,0.05,1
-1,0.1,-1,0.1,1
1,0.05,1,0.05,-1
1,0.1,1,0.1,1
-1,0.4,-1,0.4,-1
-1,0,-1,0,1
-1,0.05,-1,0.05,1
1,0.4,-1,0.4,1
1,0.4,-1,0.4,1
1,0.2,1,0.2,1
-1,0.4,-1,0.4,-1
1,0.05,1,0.05,1
1,0.4,1,0.4,1
-1,0.2,-1,0.2,-1
1,0.4,1,0.4,1
1,0.2,1,0.2,1
1,0.05,1,0.05,-1
-1,0.1,-1,0.1,1
-1,0.2,-1,0.2,-1
-1,0.05,1,0.05,1
1,0.2,-1,0.2,1
-1,0,-1,0,1
1,0.4,1,0.4,1
1,0.1,-1,0.1,1
1,0.2,1,0.2,1
-1,0.1,-1,0.1,-1
-1,0.2,1,0.2,-1
-1,0.4,-1,0.4,-1
1,0.1,1,0.1,1
-1,0.2,-1,0.2,-1
1,0.2,1,0.2,1
-1,0,-1,0,1
-1,0,-1,0,1
-1,0.05,-1,0.05,-1
1,0.1,1,0.1,1
1,0.4,1,0.4,1
1,0.1,1,0.1,-1
